zone_id,observation_count,total_precipitation,mean_precipitation,max_precipitation,wet_intervals,pct_wet_intervals,grid_lat,grid_lon,latitude,longitude
245,36,0.0,0.0,0.0,0,0.0,40.625,-74.105,40.6285,-74.1032
246,36,0.0,0.0,0.0,0,0.0,40.755,-74.005,40.7524,-74.0045
247,36,0.0,0.0,0.0,0,0.0,40.825,-73.925,40.8292,-73.9251
248,36,0.0,0.0,0.0,0,0.0,40.835,-73.875,40.8347,-73.871
249,36,0.0,0.0,0.0,0,0.0,40.735,-74.005,40.7346,-74.0025
250,36,0.0,0.0,0.0,0,0.0,40.835,-73.845,40.8325,-73.8495
251,36,0.0,0.0,0.0,0,0.0,40.615,-74.125,40.6196,-74.1232
252,36,0.0,0.0,0.0,0,0.0,40.785,-73.815,40.7884,-73.8154
253,36,0.0,0.0,0.0,0,0.0,40.765,-73.845,40.7601,-73.8415
254,36,0.0,0.0,0.0,0,0.0,40.885,-73.855,40.8832,-73.8583
255,36,0.0,0.0,0.0,0,0.0,40.715,-73.955,40.7188,-73.9571
256,36,0.0,0.0,0.0,0,0.0,40.715,-73.955,40.711,-73.9591
257,36,0.0,0.0,0.0,0,0.0,40.655,-73.975,40.6537,-73.9772
258,36,0.0,0.0,0.0,0,0.0,40.695,-73.855,40.6901,-73.8566
259,36,0.0,0.0,0.0,0,0.0,40.895,-73.855,40.8991,-73.8564
260,36,0.0,0.0,0.0,0,0.0,40.745,-73.905,40.7468,-73.9037
261,36,0.0,0.0,0.0,0,0.0,40.705,-74.015,40.709,-74.0129
262,36,0.0,0.0,0.0,0,0.0,40.775,-73.945,40.7765,-73.9458
263,36,0.0,0.0,0.0,0,0.0,40.775,-73.955,40.7785,-73.9512
